STRATEGY_ID;NAME;SYS_NAME;CURRENCY_ALPHA_CODE;PAY_BANK;BANK_RACCOUNT;CUSTODY_ACCOUNT;BANK_RECEIVER_RACCOUNT;TRADE_ACCOUNT_RUR;TRADE_ACCOUNT_USD;SDU;MANAGED_BY;IS_DU;IS_IDU;IS_MANAGEABLE;QUALIFIED;PARTIAL_WITHDRAWAL;STATUS;Instance
10195901;Àëüôà Óïðàâëÿåìûå Îáëèãàöèè;BONDSONLINE;RUB;ÀÎ «Àëüôà-Áàíê»;40701810602750000479;36MC0250000000FBO;40701810602750000479;30414810000000000911;NULL;CC;PM Bonds;1;0;1;0;1;OPEN;main
10777792;Àëüôà Ìàñòåðáîíä 2.0;Masterbond 2.0;USD;"ÀÎ ""Àëüôà-Áàíê""";40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;CC;PM Bonds;1;0;1;1;1;OPEN;main
10778462;Àëüôà Ãëîáàëüíûå äèâèäåíäû 2.0;Global dividends 2.0;USD;Alfa-Bank Moscow;40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;CC;PM Equities;1;0;1;1;1;OPEN;main
10778520;Àëüôà Êâàíò 2.0;Kvant 2.0;USD;ÀÎ «Àëüôà-Áàíê»;40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;CC;PM Equities;1;0;1;1;1;OPEN;main
10778554;Àëüôà Âûñîêèå Òåõíîëîãèè 2.0;High Technologies 2.0;USD;"ÀÎ ""Àëüôà-Áàíê""";40701840101600000207;36MC0250000000FMB;40701840401600000208;30414810000000000911;30414840300000000911;CC;PM Equities;1;0;1;1;1;OPEN;main
16098242;Àëüôà Ìèðîâîé ýêñïåðò;Mir_Expert_NEW;USD;Alfa-Bank Moscow;40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;ÈÄÓ;ÈÊ;0;1;0;1;1;OPEN;main
18801916;Àëüôà Ìèðîâûå îáëèãàöèè;Alfa_Bonds_NEW;USD;Alfa-Bank Moscow;40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;ÈÄÓ;ÈÊ;0;1;0;1;1;OPEN;main
19687410;Àëüôà Êîìôîðòíûé äîõîä;Comfort_income;USD;Alfa-Bank Moscow;40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;CC;DRPS;1;0;1;1;1;OPEN;main
20633108;Àëüôà Óïðàâëÿåìûå ðîññèéñêèå àêöèè;URA;RUB;ÀÎ «Àëüôà-Áàíê»;40701810602750000479;36MC0250000000FBO;40701810602750000479;30414810000000000911;NULL;CC;PM Equities;1;0;1;0;0;OPEN;main
20897506;Àëüôà Êèòàéñêèå àêöèè;China_shares;RUB;ÀÎ «Àëüôà-Áàíê»;40701810602750000479;36MC0250000000FBO;40701810602750000479;30414810000000000911;30414840300000000911;CC;PM Equities;1;0;1;0;1;OPEN;main
21406420;Àëüôà Pre-IPO-6;PreIPO6;USD;Alfa-Bank Moscow;40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;ÈÄÓ;ÈÊ;0;1;0;1;1;OPEN;main
36275687;VTB Àëüôà Ìèðîâîé ýêñïåðò;VTB_Mir_Expert_NEW;USD;Alfa-Bank Moscow;40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;ÈÄÓ;ÈÊ;0;1;0;1;1;OPEN;main
